dataset name,archiveType,proxyObservationType,units,proxySystem
SAm-CentralAndes11.PAGES2k.2011,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
SAm-CentralAndes11.PAGES2k.2011,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Ocn-SWCoastOfIndia.Saraswat.2013,marine sediment,ghostMeasured,NA,NA
M77-2_056.Nurnberg.2015,marine sediment,u. peregrina d13c,per mil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Uvigirina_peregrina.D13C
M77-2_056.Nurnberg.2015,marine sediment,g. ruber w d13c,per mil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.D13C
Asi-CHIN044.Brauning.2013,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Asi-CHIN044.Brauning.2013,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Ocn-CariacoBasin.Black.2007,marine sediment,Mg_Ca,NA,NA
Eur-SpanishPyrenees.Dorado-Linan.2012,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Eur-SpanishPyrenees.Dorado-Linan.2012,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
NAm-CraterLakeNE.Briffa.2002,tree,segment,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,density,g/cm3,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,MXD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.MXDDefaultSensor.MXD
NAm-CraterLakeNE.Briffa.2002,tree,residual,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,corrs,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,SD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,SE,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,EPS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
Ant-US-ITASE-2002-4.Steig.2013,glacier ice,d18O,permil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.GlacierIce.D18ODefaultSensor.D18O
Arc-PennyIceCapP96.Okuyama.2003,glacier ice,melt,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.GlacierIce.MeltDefaultSensor.Melt
Juxtlahuaca.Lachniet.2012,speleothem,distance_from_top,mm,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Speleothem.DistanceDefaultSensor.Distance
Arc-Agassiz.Vinther.2008,glacier ice,d18O,permil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.GlacierIce.D18ODefaultSensor.D18O
